iter	MultiClass
0	0.8960260344
1	0.7942079097
2	0.750634842
3	0.7187117529
4	0.6736294952
5	0.6532051517
6	0.636821168
7	0.6257908927
8	0.6004559787
9	0.589411051
10	0.5749746519
11	0.5590474089
12	0.5456872115
13	0.5360757444
14	0.5292463903
15	0.5165108945
16	0.5043472823
17	0.491276753
18	0.48415117
19	0.4763899241
20	0.4713900213
21	0.4643213563
22	0.4514861849
23	0.4451391543
24	0.4417154017
25	0.4334116579
26	0.4264638687
27	0.4157030101
28	0.4099378761
29	0.4030709273
30	0.3983673001
31	0.3908078971
32	0.3846092699
33	0.3809339475
34	0.3764752222
35	0.3675437446
36	0.3620524217
37	0.3560496861
38	0.3502697984
39	0.3460206981
40	0.3404942784
41	0.3359805729
42	0.3313484811
43	0.3243082453
44	0.3218418035
45	0.3161539296
46	0.3114848786
47	0.3092899863
48	0.3044811602
49	0.3002783395
50	0.2968572038
51	0.2907538274
52	0.2878714597
53	0.2848508154
54	0.2805461867
55	0.2761707786
56	0.2728157893
57	0.2715282224
58	0.2703063355
59	0.2656798297
60	0.2635664302
61	0.2594899776
62	0.2549546245
63	0.2521387413
64	0.2489484338
65	0.2460778632
66	0.2443246519
67	0.2410362875
68	0.2372353874
69	0.2351898619
70	0.2331059793
71	0.2308796473
72	0.2287278672
73	0.2259025278
74	0.2236206291
75	0.2218779599
76	0.2182919609
77	0.2155832979
78	0.2138700327
79	0.2121967196
80	0.2097792908
81	0.2076964815
82	0.2064502574
83	0.2043213628
84	0.2031024525
85	0.2011407112
86	0.1992708991
87	0.1968955455
88	0.1935405675
89	0.1917414339
90	0.1910707085
91	0.1891185588
92	0.1865741454
93	0.1855639874
94	0.1831640672
95	0.181738172
96	0.1801891474
97	0.1791976719
98	0.1772265604
99	0.1758468796
