iter	Passed	Remaining
0	5	550
1	10	504
2	15	509
3	19	478
4	27	513
5	31	495
6	38	505
7	43	495
8	47	475
9	49	448
10	55	447
11	60	440
12	66	447
13	72	445
14	77	439
15	81	429
16	86	421
17	91	417
18	95	407
19	101	407
20	104	393
21	109	387
22	112	377
23	116	370
24	122	368
25	125	358
26	130	352
27	133	344
28	138	337
29	144	336
30	147	328
31	152	324
32	155	315
33	160	310
34	164	305
35	168	299
36	174	297
37	178	291
38	183	287
39	186	280
40	191	276
41	194	269
42	199	264
43	203	259
44	207	253
45	214	251
46	216	244
47	221	239
48	224	233
49	229	229
50	233	224
51	237	219
52	243	215
53	247	210
54	254	207
55	256	201
56	261	196
57	264	191
58	268	186
59	273	182
60	277	177
61	283	173
62	286	168
63	291	163
64	294	158
65	299	154
66	305	150
67	308	145
68	313	140
69	316	135
70	321	131
71	325	126
72	329	121
73	335	117
74	337	112
75	342	108
76	346	103
77	350	98
78	356	94
79	360	90
80	366	85
81	369	81
82	374	76
83	377	71
84	381	67
85	386	62
86	390	58
87	396	54
88	399	49
89	403	44
90	407	40
91	411	35
92	416	31
93	420	26
94	427	22
95	430	17
96	435	13
97	437	8
98	442	4
99	447	0
